Type,Severity,StartTime(UTC),EndTime(UTC),Road/Highway,County,ZipCode
Rain,Light,10/19/2017 7:30,10/19/2017 7:53,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,10/19/2017 7:58,10/19/2017 8:49,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,10/19/2017 22:53,10/19/2017 23:53,US/Pacific McKinleyville,Humboldt,95519
Rain,Moderate,10/19/2017 23:53,10/20/2017 0:40,US/Pacific McKinleyville,Humboldt,95519
Fog,Severe,10/20/2017 0:40,10/20/2017 0:53,US/Pacific McKinleyville,Humboldt,95519
Rain,Heavy,10/20/2017 0:53,10/20/2017 1:15,US/Pacific McKinleyville,Humboldt,95519
Rain,Moderate,10/20/2017 1:15,10/20/2017 1:31,US/Pacific McKinleyville,Humboldt,95519
Rain,Heavy,10/20/2017 1:31,10/20/2017 2:53,US/Pacific McKinleyville,Humboldt,95519
Rain,Moderate,10/20/2017 2:53,10/20/2017 5:53,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,10/20/2017 5:53,10/20/2017 6:53,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,10/20/2017 7:25,10/20/2017 7:43,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,10/20/2017 11:53,10/20/2017 12:53,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,10/20/2017 13:53,10/20/2017 14:53,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,10/20/2017 16:13,10/20/2017 16:53,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,10/20/2017 17:40,10/20/2017 18:53,US/Pacific McKinleyville,Humboldt,95519
Fog,Moderate,10/20/2017 19:53,10/20/2017 22:53,US/Pacific McKinleyville,Humboldt,95519
Fog,Moderate,10/21/2017 1:53,10/21/2017 2:53,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,10/21/2017 12:53,10/21/2017 15:53,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,10/21/2017 16:24,10/21/2017 17:53,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,10/21/2017 19:53,10/21/2017 21:00,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,10/21/2017 22:53,10/22/2017 0:53,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,10/22/2017 5:03,10/22/2017 5:53,US/Pacific McKinleyville,Humboldt,95519
Fog,Moderate,10/22/2017 23:53,10/23/2017 1:53,US/Pacific McKinleyville,Humboldt,95519
Fog,Severe,10/23/2017 15:38,10/23/2017 15:56,US/Pacific McKinleyville,Humboldt,95519
Fog,Severe,10/23/2017 18:00,10/23/2017 18:11,US/Pacific McKinleyville,Humboldt,95519
Fog,Moderate,10/23/2017 19:53,10/23/2017 20:53,US/Pacific McKinleyville,Humboldt,95519
Fog,Moderate,10/23/2017 21:53,10/24/2017 1:53,US/Pacific McKinleyville,Humboldt,95519
Fog,Severe,10/24/2017 18:45,10/24/2017 19:46,US/Pacific McKinleyville,Humboldt,95519
Fog,Moderate,10/24/2017 19:46,10/24/2017 20:53,US/Pacific McKinleyville,Humboldt,95519
Fog,Moderate,10/24/2017 23:53,10/25/2017 0:53,US/Pacific McKinleyville,Humboldt,95519
Fog,Moderate,10/25/2017 3:53,10/25/2017 4:24,US/Pacific McKinleyville,Humboldt,95519
Fog,Severe,10/25/2017 9:06,10/25/2017 9:32,US/Pacific McKinleyville,Humboldt,95519
Fog,Severe,10/25/2017 13:47,10/25/2017 15:03,US/Pacific McKinleyville,Humboldt,95519
Fog,Severe,10/25/2017 16:45,10/25/2017 18:06,US/Pacific McKinleyville,Humboldt,95519
Fog,Severe,10/25/2017 19:22,10/25/2017 19:59,US/Pacific McKinleyville,Humboldt,95519
Fog,Severe,10/25/2017 20:03,10/25/2017 20:44,US/Pacific McKinleyville,Humboldt,95519
Fog,Moderate,10/25/2017 22:53,10/25/2017 23:53,US/Pacific McKinleyville,Humboldt,95519
Fog,Moderate,10/26/2017 0:53,10/26/2017 1:53,US/Pacific McKinleyville,Humboldt,95519
Fog,Severe,10/26/2017 15:12,10/26/2017 18:17,US/Pacific McKinleyville,Humboldt,95519
Fog,Severe,10/26/2017 18:28,10/26/2017 20:53,US/Pacific McKinleyville,Humboldt,95519
Fog,Severe,10/26/2017 21:41,10/26/2017 22:11,US/Pacific McKinleyville,Humboldt,95519
Fog,Severe,10/26/2017 22:26,10/27/2017 1:27,US/Pacific McKinleyville,Humboldt,95519
Fog,Severe,10/27/2017 2:23,10/27/2017 6:19,US/Pacific McKinleyville,Humboldt,95519
Fog,Severe,10/27/2017 8:07,10/27/2017 8:32,US/Pacific McKinleyville,Humboldt,95519
Fog,Severe,10/27/2017 9:33,10/27/2017 10:32,US/Pacific McKinleyville,Humboldt,95519
Fog,Severe,10/27/2017 12:36,10/27/2017 15:37,US/Pacific McKinleyville,Humboldt,95519
Fog,Severe,10/27/2017 22:00,10/28/2017 14:20,US/Pacific McKinleyville,Humboldt,95519
Fog,Severe,10/28/2017 14:46,10/28/2017 14:53,US/Pacific McKinleyville,Humboldt,95519
Fog,Severe,10/28/2017 15:53,10/28/2017 16:53,US/Pacific McKinleyville,Humboldt,95519
Fog,Severe,10/29/2017 11:57,10/29/2017 12:04,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,10/29/2017 16:31,10/29/2017 16:41,US/Pacific McKinleyville,Humboldt,95519
Fog,Severe,11/1/2017 0:47,11/1/2017 8:14,US/Pacific McKinleyville,Humboldt,95519
Fog,Severe,11/1/2017 8:25,11/1/2017 11:53,US/Pacific McKinleyville,Humboldt,95519
Fog,Severe,11/1/2017 12:53,11/1/2017 13:36,US/Pacific McKinleyville,Humboldt,95519
Fog,Severe,11/1/2017 14:13,11/1/2017 16:53,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,11/3/2017 1:05,11/3/2017 2:37,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,11/3/2017 4:53,11/3/2017 6:53,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,11/3/2017 7:14,11/3/2017 8:53,US/Pacific McKinleyville,Humboldt,95519
Rain,Moderate,11/3/2017 8:53,11/3/2017 9:17,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,11/3/2017 9:17,11/3/2017 9:38,US/Pacific McKinleyville,Humboldt,95519
Rain,Moderate,11/3/2017 9:38,11/3/2017 10:04,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,11/3/2017 10:04,11/3/2017 10:51,US/Pacific McKinleyville,Humboldt,95519
Rain,Moderate,11/3/2017 10:51,11/3/2017 11:18,US/Pacific McKinleyville,Humboldt,95519
