Direction,CountyCode,DistrictNumber,Latitude,Longitude
BOTH DIRECTIONS,MOE,10,39.604371,-81.163083
BOTH DIRECTIONS,KNO,5,40.385,-82.250781
BOTH DIRECTIONS,TRU,4,41.201983,-80.663787
BOTH DIRECTIONS,GUE,5,40.147243,-81.549793
BOTH DIRECTIONS,MED,3,41.157636,-82.023412
SOUTHBOUND,CUY,12,41.494966,-81.682234
BOTH DIRECTIONS,SHE,7,40.324331,-84.370844
SOUTHBOUND,FRA,6,40.098342,-83.135186
BOTH DIRECTIONS,HOL,11,40.642201,-81.931834
BOTH DIRECTIONS,BEL,11,40.106013,-80.778178
SOUTHBOUND,LUC,2,41.685831,-83.56726
BOTH DIRECTIONS,ATH,10,39.301072,-81.905306
BOTH DIRECTIONS,SCI,9,38.75127,-82.875768
BOTH DIRECTIONS,MEG,10,39.162665,-82.134935
BOTH DIRECTIONS,HIG,9,39.346075,-83.559811
BOTH DIRECTIONS,COL,11,40.751016,-80.936673
BOTH DIRECTIONS,STA,4,40.688986,-81.433317
BOTH DIRECTIONS,MUS,5,39.783969,-81.852641
SOUTHBOUND,STA,4,40.830094,-81.397533
BOTH DIRECTIONS,SUM,4,41.063248,-81.527972
BOTH DIRECTIONS,ASD,3,40.8837,-82.196231
BOTH DIRECTIONS,HEN,2,41.408944,-84.008529
BOTH DIRECTIONS,VIN,10,39.238595,-82.294979
BOTH DIRECTIONS,SCI,9,38.828151,-82.851618
WESTBOUND,POR,4,41.24303,-81.15768
BOTH DIRECTIONS,CUY,12,41.475979,-81.876076
BOTH DIRECTIONS,STA,4,40.865541,-81.430752
BOTH DIRECTIONS,STA,4,40.974367,-81.373261
BOTH DIRECTIONS,BUT,8,39.339998,-84.715675
BOTH DIRECTIONS,MED,3,41.136292,-81.800503
BOTH DIRECTIONS,VIN,10,39.271395,-82.519827
BOTH DIRECTIONS,MED,3,41.021015,-81.996018
BOTH DIRECTIONS,MED,3,41.158226,-81.862988
SOUTHBOUND,MOE,10,39.681046,-80.910076
BOTH DIRECTIONS,ADA,9,38.969414,-83.473429
BOTH DIRECTIONS,MOT,7,39.764779,-84.193243
NORTHBOUND,HAM,8,39.164187,-84.431335
BOTH DIRECTIONS,COL,11,40.900316,-80.722829
BOTH DIRECTIONS,CUY,12,41.475786,-81.659548
BOTH DIRECTIONS,SUM,4,41.056147,-81.528684
BOTH DIRECTIONS,JAC,9,39.132821,-82.529709
BOTH DIRECTIONS,ATH,10,39.319451,-82.182597
BOTH DIRECTIONS,PIK,9,39.105166,-82.979923
SOUTHBOUND,FRA,6,40.065204,-83.132762
BOTH DIRECTIONS,POR,4,41.261388,-81.345434
EASTBOUND,ROS,9,39.249274,-82.848512
EASTBOUND,POR,4,41.241543,-81.123347
WESTBOUND,FRA,6,39.89318,-83.039892
NORTHBOUND,FRA,6,39.89253,-83.036599
BOTH DIRECTIONS,SUM,4,41.037491,-81.585044
BOTH DIRECTIONS,COL,11,40.621186,-80.625578
BOTH DIRECTIONS,CUY,12,41.423327,-81.509384
BOTH DIRECTIONS,ATB,4,41.510822,-80.753851
BOTH DIRECTIONS,STA,4,40.788314,-81.352632
BOTH DIRECTIONS,TRU,4,41.427724,-80.737223
BOTH DIRECTIONS,TUS,11,40.233262,-81.344935
BOTH DIRECTIONS,LUC,2,41.684646,-83.571465
BOTH DIRECTIONS,SCI,9,38.751002,-82.876497
BOTH DIRECTIONS,GEA,12,41.38683,-81.143083
BOTH DIRECTIONS,HAM,8,39.194851,-84.475222
BOTH DIRECTIONS,HAM,8,39.274478,-84.522682
NORTHBOUND,ATH,10,39.222329,-81.788149
BOTH DIRECTIONS,MRG,10,39.696049,-81.886848
WESTBOUND,MEG,10,39.076045,-81.816148
BOTH DIRECTIONS,HAM,8,39.221774,-84.535628
BOTH DIRECTIONS,HIG,9,39.189765,-83.610131
BOTH DIRECTIONS,CLE,8,39.007161,-84.300648
WESTBOUND,MOE,10,39.630772,-80.914581
WESTBOUND,MOE,10,39.681466,-80.923024
BOTH DIRECTIONS,HIG,9,39.239013,-83.643579
EASTBOUND,SUM,4,41.039802,-81.662643
BOTH DIRECTIONS,HAM,8,39.173535,-84.491272
BOTH DIRECTIONS,TRU,4,41.165993,-80.87463
BOTH DIRECTIONS,TRU,4,41.427724,-80.737223
BOTH DIRECTIONS,ASD,3,40.635749,-82.238853
BOTH DIRECTIONS,ATH,10,39.333377,-81.889431
BOTH DIRECTIONS,LOR,3,41.411272,-82.180062
BOTH DIRECTIONS,CUY,12,41.491469,-81.709967
BOTH DIRECTIONS,HAM,8,39.254319,-84.434712
BOTH DIRECTIONS,KNO,5,40.39131,-82.479252
BOTH DIRECTIONS,LOR,3,41.404718,-82.117193
WESTBOUND,CUY,12,41.581281,-81.540451
WESTBOUND,CUY,12,41.498236,-81.705356
BOTH DIRECTIONS,SUM,4,41.040538,-81.657701
BOTH DIRECTIONS,HAM,8,39.072795,-84.326106
BOTH DIRECTIONS,PRE,8,39.765619,-84.701011
BOTH DIRECTIONS,BEL,11,40.049201,-80.734029
BOTH DIRECTIONS,ADA,9,38.96334,-83.418477
BOTH DIRECTIONS,HIG,9,39.135053,-83.563942
