ROAD WORK ID,FROM_DATE,TO_DATE,STREET_ADDRESS
RC215,2020-02-03T00:00:00.000Z,2020-03-02T00:00:00.000Z,1758 W BURNETT AVE Unit 1
RC216,2020-02-03T00:00:00.000Z,2020-03-02T00:00:00.000Z,2108 MCCLOSKEY AVE
RC217,2020-02-03T00:00:00.000Z,2020-03-02T00:00:00.000Z,2304 DUMESNIL ST
RC218,2020-02-03T00:00:00.000Z,2020-03-02T00:00:00.000Z,2126 W OAK ST
RC219,2020-02-03T00:00:00.000Z,2020-03-02T00:00:00.000Z,2216 W OAK ST
RC220,2020-02-03T00:00:00.000Z,2020-03-02T00:00:00.000Z,1799 BOLLING AVE
RC221,2020-02-03T00:00:00.000Z,2020-03-02T00:00:00.000Z,2301 W ORMSBY AVE
RC222,2020-02-03T00:00:00.000Z,2020-03-02T00:00:00.000Z,2727 LINDSAY AVE
RC223,2020-02-03T00:00:00.000Z,2020-03-02T00:00:00.000Z,1112 RIVER RD
RC224,2020-02-03T00:00:00.000Z,2020-03-02T00:00:00.000Z,270 N CAMPBELL ST
RC225,2020-02-03T00:00:00.000Z,2020-03-02T00:00:00.000Z,4800 ALLMOND AVE
RC226,2020-02-03T00:00:00.000Z,2020-03-02T00:00:00.000Z,808 DORSEY LN
RC227,2020-02-03T00:00:00.000Z,2020-03-02T00:00:00.000Z,3941 BUECHEL BANK RD
RC228,2020-02-03T00:00:00.000Z,2020-03-02T00:00:00.000Z,1000 W MARKET ST
RC229,2020-02-03T00:00:00.000Z,2020-03-02T00:00:00.000Z,4333 ROBARDS LN
RC230,2020-02-03T00:00:00.000Z,2020-03-02T00:00:00.000Z,922 S 2ND ST
RC231,2020-02-03T00:00:00.000Z,2020-03-02T00:00:00.000Z,1527 PORTLAND AVE
RC232,2020-02-03T00:00:00.000Z,2020-03-02T00:00:00.000Z,3505 GOLDSMITH LN
RC233,2020-02-03T00:00:00.000Z,2020-03-02T00:00:00.000Z,750 GRADE LN
RC234,2020-02-10T00:00:00.000Z,2020-03-02T00:00:00.000Z,2701 ROCKFORD LN
RC235,2020-02-17T00:00:00.000Z,2020-03-02T00:00:00.000Z,406 STILZ AVE
RC236,2020-02-17T00:00:00.000Z,2020-03-02T00:00:00.000Z,2201 CROSS HILL RD
RC237,2020-02-17T00:00:00.000Z,2020-03-02T00:00:00.000Z,2614 TOP HILL RD
RC238,2020-02-17T00:00:00.000Z,2020-03-02T00:00:00.000Z,1018 ELLISON AVE
RC239,2020-02-24T00:00:00.000Z,2020-03-02T00:00:00.000Z,13698 AIKEN RD
RC240,2019-12-19T00:00:00.000Z,2020-03-02T00:00:00.000Z,1735 S 22ND ST
RC241,2020-02-04T00:00:00.000Z,2020-03-03T00:00:00.000Z,4424 RIVER RD
RC242,2020-02-05T00:00:00.000Z,2020-03-04T00:00:00.000Z,6310 KENJOY DR
RC243,2020-02-05T00:00:00.000Z,2020-03-04T00:00:00.000Z,1718 MCCLOSKEY AVE
RC244,2020-02-05T00:00:00.000Z,2020-03-04T00:00:00.000Z,2201 W MAIN ST
RC245,2020-02-05T00:00:00.000Z,2020-03-04T00:00:00.000Z,1430 S SHELBY ST
RC246,2020-01-28T00:00:00.000Z,2020-03-06T00:00:00.000Z,200 E WASHINGTON ST
RC247,2020-02-03T00:00:00.000Z,2020-03-06T00:00:00.000Z,7013 E MANSLICK RD
RC248,2020-02-17T00:00:00.000Z,2020-03-06T00:00:00.000Z,740 COCHRAN HILL RD
RC249,2020-02-17T00:00:00.000Z,2020-03-06T00:00:00.000Z,2614 TOP HILL RD
RC250,2020-02-17T00:00:00.000Z,2020-03-06T00:00:00.000Z,1148 S PRESTON ST
RC251,2020-02-24T00:00:00.000Z,2020-03-06T00:00:00.000Z,9120 SHELBYVILLE RD
RC252,2020-02-08T00:00:00.000Z,2020-03-07T00:00:00.000Z,2525 ELLSWORTH AVE
RC253,2019-12-07T00:00:00.000Z,2020-03-07T00:00:00.000Z,7201 JOHNSONTOWN RD
RC254,2019-12-07T00:00:00.000Z,2020-03-07T00:00:00.000Z,10600 LOWER RIVER RD
RC255,2020-02-20T00:00:00.000Z,2020-03-20T00:00:00.000Z,211 W MUHAMMAD ALI BLVD
RC256,2020-02-20T00:00:00.000Z,2020-03-20T00:00:00.000Z,600 E LIBERTY ST
RC257,2020-02-20T00:00:00.000Z,2020-03-20T00:00:00.000Z,416 W MUHAMMAD ALI BLVD Unit 100
RC258,2020-02-20T00:00:00.000Z,2020-03-20T00:00:00.000Z,540 S 3RD ST
RC259,2020-02-21T00:00:00.000Z,2020-03-20T00:00:00.000Z,7020 FIELD VIEW CT
RC260,2020-02-21T00:00:00.000Z,2020-03-20T00:00:00.000Z,7118 FIELD RIDGE CT
RC261,2020-02-21T00:00:00.000Z,2020-03-20T00:00:00.000Z,101 W MUHAMMAD ALI BLVD
RC262,2020-02-28T00:00:00.000Z,2020-03-20T00:00:00.000Z,5000 FIRWOOD LN
RC263,2020-02-28T00:00:00.000Z,2020-03-20T00:00:00.000Z,5202 FIRWOOD LN
RC264,2020-02-28T00:00:00.000Z,2020-03-20T00:00:00.000Z,4701 ANDALUSIA LN
RC265,2020-01-27T00:00:00.000Z,2020-03-23T00:00:00.000Z,100 E JEFFERSON ST
RC266,2020-01-27T00:00:00.000Z,2020-03-23T00:00:00.000Z,1100 CEDAR CT
RC267,2020-01-27T00:00:00.000Z,2020-03-23T00:00:00.000Z,1412 TUCKER STATION RD
RC268,2020-01-27T00:00:00.000Z,2020-03-23T00:00:00.000Z,660 S 8TH ST
RC269,2020-01-27T00:00:00.000Z,2020-03-23T00:00:00.000Z,2800 S FLOYD ST
RC270,2020-01-27T00:00:00.000Z,2020-03-23T00:00:00.000Z,3218 BON AIR AVE
RC271,2020-01-29T00:00:00.000Z,2020-03-23T00:00:00.000Z,1087 E KENTUCKY ST
RC272,2020-02-24T00:00:00.000Z,2020-03-23T00:00:00.000Z,626 RAWLINGS ST
RC273,2020-02-24T00:00:00.000Z,2020-03-23T00:00:00.000Z,2336 S FLOYD ST
RC274,2020-02-24T00:00:00.000Z,2020-03-23T00:00:00.000Z,200 E WASHINGTON ST
RC275,2020-02-24T00:00:00.000Z,2020-03-23T00:00:00.000Z,1816 RANGELAND RD
RC276,2020-02-24T00:00:00.000Z,2020-03-23T00:00:00.000Z,11200 WESTPORT RD
RC277,2020-02-24T00:00:00.000Z,2020-03-23T00:00:00.000Z,315 W BRECKINRIDGE ST
RC278,2020-02-24T00:00:00.000Z,2020-03-23T00:00:00.000Z,101 E JEFFERSON ST
RC279,2020-02-24T00:00:00.000Z,2020-03-23T00:00:00.000Z,4701 SHENANDOAH DR
RC280,2020-02-24T00:00:00.000Z,2020-03-23T00:00:00.000Z,1552 KNIGHT RD
RC281,2020-02-24T00:00:00.000Z,2020-03-23T00:00:00.000Z,4408 ATLAS POWDER RD
RC282,2020-02-24T00:00:00.000Z,2020-03-23T00:00:00.000Z,1710 LINCOLN AVE
RC283,2020-02-24T00:00:00.000Z,2020-03-23T00:00:00.000Z,727 W CHESTNUT ST
RC284,2020-02-24T00:00:00.000Z,2020-03-23T00:00:00.000Z,835 PERENNIAL DR
RC285,2020-02-24T00:00:00.000Z,2020-03-23T00:00:00.000Z,749 VINE ST
RC286,2020-02-24T00:00:00.000Z,2020-03-23T00:00:00.000Z,508 M ST
RC287,2020-02-24T00:00:00.000Z,2020-03-23T00:00:00.000Z,5700 WALNUT WAY
RC288,2020-02-24T00:00:00.000Z,2020-03-23T00:00:00.000Z,1908 DEER PARK AVE
RC289,2020-02-24T00:00:00.000Z,2020-03-23T00:00:00.000Z,731 BRENT ST
RC290,2020-02-24T00:00:00.000Z,2020-03-23T00:00:00.000Z,9053 FERN CREEK RD
RC291,2020-02-24T00:00:00.000Z,2020-03-23T00:00:00.000Z,6220 DUTCHMANS LN
RC292,2020-02-24T00:00:00.000Z,2020-03-24T00:00:00.000Z,425 W BROADWAY
RC293,2020-02-24T00:00:00.000Z,2020-03-24T00:00:00.000Z,150 S 3RD ST
RC294,2020-02-24T00:00:00.000Z,2020-03-24T00:00:00.000Z,100 S 2ND ST
RC295,2020-02-25T00:00:00.000Z,2020-03-24T00:00:00.000Z,1517 S 12TH ST
RC296,2020-02-26T00:00:00.000Z,2020-03-25T00:00:00.000Z,1340 W ORMSBY AVE
RC297,2020-02-26T00:00:00.000Z,2020-03-25T00:00:00.000Z,1371 LEXINGTON RD
RC298,2020-02-26T00:00:00.000Z,2020-03-25T00:00:00.000Z,3101 S 2ND ST
RC299,2020-02-26T00:00:00.000Z,2020-03-25T00:00:00.000Z,1520 NORRIS PL
RC300,2020-02-26T00:00:00.000Z,2020-03-25T00:00:00.000Z,1311 S SHELBY ST
RC301,2020-02-26T00:00:00.000Z,2020-03-25T00:00:00.000Z,401 S 4TH ST
