ROAD WORK ID,FROM_DATE,Local Authority Reference,Works Type,Category Of Works
,,LA00436142,ROAD RESTRICTION,Streetworks
,,LA00422080,HIGHWAYS ACT PERMITS,Building Licence
,,LA00426206,HIGHWAYS ACT PERMITS,Building Licence
,,LA00436191,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00436497,STANDARD,Streetworks
,,LA00436303,MAJOR,Streetworks
,,LA00436494,STANDARD,Streetworks
,,LA00437505,MINOR,Streetworks
,,LA00437051,MAJOR,Streetworks
,,LA00329314,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00422244,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00433915,MAJOR,Streetworks
,,LA00429066,STANDARD,Streetworks
,,LA00433711,MAJOR,Streetworks
,,LA00398695,HIGHWAYS ACT PERMITS,Building Licence
,,LA00430424,MINOR,Streetworks
,,LA00430613,STANDARD,Streetworks
,,LA00434936,MINOR,Streetworks
,,LA00429057,STANDARD,Streetworks
,,LA00429901,MINOR,Streetworks
,,LA00435459,MAJOR,Streetworks
,,LA00436984,HIGHWAYS ACT PERMITS,Building Licence
,,LA00437403,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00427426,HIGHWAYS ACT PERMITS,Building Licence
,,LA00426294,HIGHWAYS ACT PERMITS,Crane Operation
,,LA00342544,HIGHWAYS ACT PERMITS,Building Licence
,,LA00398179,HIGHWAYS ACT PERMITS,Building Licence
,,LA00435993,STANDARD,Streetworks
,,LA00429931,HIGHWAYS ACT PERMITS,Building Licence
,,LA00434545,MAJOR,Streetworks
,,LA00435992,MAJOR,Streetworks
,,LA00436197,MAJOR,Streetworks
,,LA00437240,MAJOR,Streetworks
,,LA00342550,HIGHWAYS ACT PERMITS,Building Licence
,,LA00437334,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00429883,STANDARD,Streetworks
,,LA00429978,MAJOR,Streetworks
,,LA00399413,HIGHWAYS ACT PERMITS,Building Licence
,,LA00402793,HIGHWAYS ACT PERMITS,Building Licence
,,LA00432763,MAJOR,Streetworks
,,LA00429335,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00437069,MAJOR,Streetworks
,,LA00429305,MAJOR,Streetworks
,,LA00428076,HIGHWAYS ACT PERMITS,Crane Operation
,,LA00437547,MINOR,Streetworks
,,LA00437735,STANDARD,Streetworks
,,LA00434611,MAJOR,Streetworks
,,LA00398177,HIGHWAYS ACT PERMITS,Building Licence
,,LA00435988,MAJOR,Streetworks
,,LA00381738,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00436512,STANDARD,Streetworks
,,LA00431455,MAJOR,Streetworks
,,LA00409937,HIGHWAYS ACT PERMITS,Building Licence
,,LA00428121,HIGHWAYS ACT PERMITS,Building Licence
,,LA00433511,MAJOR,Streetworks
,,LA00437716,STANDARD,Streetworks
,,LA00434900,MAJOR,Streetworks
,,LA00434615,HIGHWAYS ACT PERMITS,Building Licence
,,LA00436488,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00436458,HIGHWAYS ACT PERMITS,Building Licence
,,LA00437105,STANDARD,Streetworks
,,LA00399087,HIGHWAYS ACT PERMITS,Building Licence
,,LA00426418,HIGHWAYS ACT PERMITS,Building Licence
,,LA00436291,STANDARD,Streetworks
,,LA00424322,HIGHWAYS ACT PERMITS,Building Licence
,,LA00437560,HIGHWAYS ACT PERMITS,Building Licence
,,LA00437570,MINOR,Streetworks
,,LA00425293,HIGHWAYS ACT PERMITS,Building Licence
,,LA00432747,MAJOR,Streetworks
,,LA00428078,HIGHWAYS ACT PERMITS,Crane Operation
,,LA00430431,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00331735,HIGHWAYS ACT PERMITS,Building Licence
,,LA00437107,HIGHWAYS ACT PERMITS,Building Licence
,,LA00437620,MAJOR,Streetworks
,,LA00429560,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00437052,STANDARD,Streetworks
,,LA00436059,STANDARD,Streetworks
,,LA00434933,STANDARD,Streetworks
,,LA00428675,MINOR,Streetworks
,,LA00434681,STANDARD,Streetworks
,,LA00437337,HIGHWAYS ACT PERMITS,Building Licence
,,LA00433060,MAJOR,Streetworks
,,LA00424107,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00420436,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00428456,STANDARD,Streetworks
,,LA00432300,MAJOR,Streetworks
,,LA00436429,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00436635,MAJOR,Streetworks
,,LA00402276,HIGHWAYS ACT PERMITS,Building Licence
,,LA00437573,HIGHWAYS ACT PERMITS,Building Licence
,,LA00435860,MAJOR,Streetworks
,,LA00433992,STANDARD,Streetworks
,,LA00424570,STANDARD,Streetworks
,,LA00426423,HIGHWAYS ACT PERMITS,Building Licence
,,LA00433317,HIGHWAYS ACT PERMITS,Building Licence
,,LA00436068,MAJOR,Streetworks
,,LA00397645,MAJOR,Streetworks
,,LA00437495,HIGHWAYS ACT PERMITS,Building Licence
,,LA00422245,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00417438,MINOR,Streetworks
,,LA00437807,HIGHWAYS ACT PERMITS,Other
,,LA00429602,MAJOR,Streetworks
,,LA00436985,HIGHWAYS ACT PERMITS,Building Licence
,,LA00432513,STANDARD,Streetworks
,,LA00435441,MAJOR,Streetworks
,,LA00420052,HIGHWAYS ACT PERMITS,Crane Operation
,,LA00436450,MAJOR,Streetworks
,,LA00434901,MAJOR,Streetworks
,,LA00427817,MAJOR,Streetworks
,,LA00436940,STANDARD,Streetworks
,,LA00432764,MINOR,Streetworks
,,LA00436298,STANDARD,Streetworks
,,LA00433536,MAJOR,Streetworks
,,LA00428112,HIGHWAYS ACT PERMITS,Building Licence
,,LA00437071,MAJOR,Streetworks
,,LA00434326,MAJOR,Streetworks
,,LA00434051,MAJOR,Streetworks
,,LA00436568,MAJOR,Streetworks
,,LA00437548,MINOR,Streetworks
,,LA00437358,MINOR,Streetworks
,,LA00420744,MAJOR,Streetworks
,,LA00435451,HIGHWAYS ACT PERMITS,Building Licence
,,LA00433192,MAJOR,Streetworks
,,LA00437544,STANDARD,Streetworks
,,LA00434329,STANDARD,Streetworks
,,LA00436286,MAJOR,Streetworks
,,LA00436983,HIGHWAYS ACT PERMITS,Building Licence
,,LA00437063,MAJOR,Streetworks
,,LA00418372,HIGHWAYS ACT PERMITS,Building Licence
,,LA00434000,MINOR,Streetworks
,,LA00377633,HIGHWAYS ACT PERMITS,Building Licence
,,LA00433780,STANDARD,Streetworks
,,LA00435422,MAJOR,Streetworks
,,LA00435167,MAJOR,Streetworks
,,LA00397355,HIGHWAYS ACT PERMITS,Building Licence
,,LA00426125,HIGHWAYS ACT PERMITS,Building Licence
,,LA00436570,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00433820,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00429837,MAJOR,Streetworks
,,LA00420766,MAJOR,Streetworks
,,LA00421608,MAJOR,Streetworks
,,LA00429089,STANDARD,Streetworks
,,LA00435446,HIGHWAYS ACT PERMITS,Building Licence
,,LA00436258,MINOR,Streetworks
,,LA00428459,STANDARD,Streetworks
,,LA00437058,MINOR,Streetworks
,,LA00418358,MAJOR,Streetworks
,,LA00435769,MINOR,Streetworks
,,LA00432301,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00429277,HIGHWAYS ACT PERMITS,Building Licence
,,LA00435755,MAJOR,Streetworks
,,LA00429980,STANDARD,Streetworks
,,LA00432757,HIGHWAYS ACT PERMITS,Building Licence
,,LA00435307,STANDARD,Streetworks
,,LA00429064,STANDARD,Streetworks
,,LA00434627,HIGHWAYS ACT PERMITS,Building Licence
,,LA00433406,MAJOR,Streetworks
,,LA00436285,MAJOR,Streetworks
,,LA00433772,MINOR,Streetworks
,,LA00435467,MAJOR,Streetworks
,,LA00437397,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00412301,HIGHWAYS ACT PERMITS,Crane Operation
,,LA00432157,HIGHWAYS ACT PERMITS,Building Licence
,,LA00437098,MAJOR,Streetworks
,,LA00433913,MAJOR,Streetworks
,,LA00437487,MAJOR,Streetworks
,,LA00435462,MINOR,Streetworks
,,LA00398970,MAJOR,Streetworks
,,LA00398497,HIGHWAYS ACT PERMITS,Building Licence
,,LA00434393,MINOR,Streetworks
,,LA00422429,MAJOR,Streetworks
,,LA00432112,MAJOR,Streetworks
,,LA00432931,HIGHWAYS ACT PERMITS,Building Licence
,,LA00436889,STANDARD,Streetworks
,,LA00432887,HIGHWAYS ACT PERMITS,Building Licence
,,LA00436686,HIGHWAYS ACT PERMITS,Building Licence
,,LA00436063,MAJOR,Streetworks
,,LA00437103,STANDARD,Streetworks
,,LA00428117,HIGHWAYS ACT PERMITS,Building Licence
,,LA00437777,STANDARD,Streetworks
,,LA00432546,MAJOR,Streetworks
,,LA00437806,HIGHWAYS ACT PERMITS,Other
,,LA00427485,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00434863,MAJOR,Streetworks
,,LA00433069,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00426736,HIGHWAYS ACT PERMITS,Building Licence
,,LA00342547,HIGHWAYS ACT PERMITS,Building Licence
,,LA00433771,MAJOR,Streetworks
,,LA00433677,MAJOR,Streetworks
,,LA00424998,HIGHWAYS ACT PERMITS,Building Licence
,,LA00437405,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00397639,MAJOR,Streetworks
,,LA00428457,STANDARD,Streetworks
,,LA00436626,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00435304,STANDARD,Streetworks
,,LA00434551,MAJOR,Streetworks
,,LA00436687,MINOR,Streetworks
,,LA00436676,STANDARD,Streetworks
,,LA00436744,MINOR,Streetworks
,,LA00437065,MAJOR,Streetworks
,,LA00437056,MAJOR,Streetworks
,,LA00435908,MAJOR,Streetworks
,,LA00336314,HIGHWAYS ACT PERMITS,Building Licence
,,LA00437106,STANDARD,Streetworks
,,LA00436436,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00436844,MAJOR,Streetworks
,,LA00432869,MAJOR,Streetworks
,,LA00339141,HIGHWAYS ACT PERMITS,Building Licence
,,LA00437108,HIGHWAYS ACT PERMITS,Building Licence
,,LA00434494,MINOR,Streetworks
,,LA00398932,MAJOR,Streetworks
,,LA00433709,MINOR,Streetworks
,,LA00428676,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00432755,HIGHWAYS ACT PERMITS,Building Licence
,,LA00420765,MAJOR,Streetworks
,,LA00435251,MAJOR,Streetworks
,,LA00424292,HIGHWAYS ACT PERMITS,Building Licence
,,LA00418365,MAJOR,Streetworks
,,LA00436364,ROAD RESTRICTION,Streetworks
,,LA00432519,STANDARD,Streetworks
,,LA00435412,MAJOR,Streetworks
,,LA00432221,MAJOR,Streetworks
,,LA00432216,MAJOR,Streetworks
,,LA00430932,MAJOR,Streetworks
,,LA00432294,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00420051,HIGHWAYS ACT PERMITS,Crane Operation
,,LA00431333,HIGHWAYS ACT PERMITS,Building Licence
,,LA00437556,MINOR,Streetworks
,,LA00431625,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00436190,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00435662,MAJOR,Streetworks
,,LA00428623,MAJOR,Streetworks
,,LA00437404,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00433403,MAJOR,Streetworks
,,LA00426656,HIGHWAYS ACT PERMITS,Other
,,LA00437619,HIGHWAYS ACT PERMITS,Streetworks
,,LA00435301,MINOR,Streetworks
,,LA00395748,MAJOR,Streetworks
,,LA00436017,STANDARD,Streetworks
,,LA00435862,MAJOR,Streetworks
,,LA00434537,MAJOR,Streetworks
,,LA00434893,STANDARD,Streetworks
,,LA00432042,MAJOR,Streetworks
,,LA00435440,MAJOR,Streetworks
,,LA00425250,MAJOR,Streetworks
,,LA00434610,MAJOR,Streetworks
,,LA00435413,MAJOR,Streetworks
,,LA00424590,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00436507,STANDARD,Streetworks
,,LA00436311,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00432326,MAJOR,Streetworks
,,LA00436290,STANDARD,Streetworks
,,LA00339259,HIGHWAYS ACT PERMITS,Building Licence
,,LA00389943,HIGHWAYS ACT PERMITS,Building Licence
,,LA00429336,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00429092,MAJOR,Streetworks
,,LA00437809,HIGHWAYS ACT PERMITS,Other
,,LA00434855,MAJOR,Streetworks
,,LA00436071,MAJOR,Streetworks
,,LA00437402,MINOR,Streetworks
,,LA00435487,STANDARD,Streetworks
,,LA00434905,MAJOR,Streetworks
,,LA00435228,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00431398,STANDARD,Streetworks
,,LA00388836,MAJOR,Streetworks
,,LA00402659,MAJOR,Streetworks
,,LA00420437,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00434327,MAJOR,Streetworks
,,LA00433818,MAJOR,Streetworks
,,LA00429063,STANDARD,Streetworks
,,LA00433465,HIGHWAYS ACT PERMITS,Building Licence
,,LA00436496,STANDARD,Streetworks
,,LA00375749,HIGHWAYS ACT PERMITS,Building Licence
,,LA00432537,HIGHWAYS ACT PERMITS,Building Licence
,,LA00433687,MAJOR,Streetworks
,,LA00433785,MAJOR,Streetworks
,,LA00427403,HIGHWAYS ACT PERMITS,Building Licence
,,LA00437396,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00433401,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00433548,HIGHWAYS ACT PERMITS,Building Licence
,,LA00435432,MAJOR,Streetworks
,,LA00435437,HIGHWAYS ACT PERMITS,Building Licence
,,LA00434538,MAJOR,Streetworks
,,LA00434401,HIGHWAYS ACT PERMITS,Building Licence
,,LA00429926,HIGHWAYS ACT PERMITS,Building Licence
,,LA00433683,MAJOR,Streetworks
,,LA00431931,MINOR,Streetworks
,,LA00437561,STANDARD,Streetworks
,,LA00432753,HIGHWAYS ACT PERMITS,Building Licence
,,LA00426421,HIGHWAYS ACT PERMITS,Building Licence
,,LA00433516,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00428458,STANDARD,Streetworks
,,LA00436843,MAJOR,Streetworks
,,LA00435435,HIGHWAYS ACT PERMITS,Building Licence
,,LA00422653,MAJOR,Streetworks
,,LA00436297,STANDARD,Streetworks
,,LA00411091,HIGHWAYS ACT PERMITS,Building Licence
,,LA00437502,MINOR,Streetworks
,,LA00435201,HIGHWAYS ACT PERMITS,Building Licence
,,LA00436015,MAJOR,Streetworks
,,LA00436292,STANDARD,Streetworks
,,LA00430443,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00431806,HIGHWAYS ACT PERMITS,Building Licence
,,LA00431235,MAJOR,Streetworks
,,LA00434101,MAJOR,Streetworks
,,LA00435418,HIGHWAYS ACT PERMITS,Other
,,LA00432746,MAJOR,Streetworks
,,LA00436689,MINOR,Streetworks
,,LA00385061,HIGHWAYS ACT PERMITS,Building Licence
,,LA00436070,MINOR,Streetworks
,,LA00416514,MAJOR,Streetworks
,,LA00434857,MAJOR,Streetworks
,,LA00433614,MINOR,Streetworks
,,LA00434554,MAJOR,Streetworks
,,LA00436422,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00432751,HIGHWAYS ACT PERMITS,Building Licence
,,LA00329311,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00433773,MINOR,Streetworks
,,LA00429832,MAJOR,Streetworks
,,LA00432533,STANDARD,Streetworks
,,LA00437637,MINOR,Streetworks
,,LA00436634,MAJOR,Streetworks
,,LA00433041,MAJOR,Streetworks
,,LA00434532,MAJOR,Streetworks
,,LA00435436,HIGHWAYS ACT PERMITS,Building Licence
,,LA00437741,HIGHWAYS ACT PERMITS,Building Licence
,,LA00416515,MAJOR,Streetworks
,,LA00428952,HIGHWAYS ACT PERMITS,Building Licence
,,LA00436708,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00431204,HIGHWAYS ACT PERMITS,Building Licence
,,LA00437736,HIGHWAYS ACT PERMITS,Building Licence
,,LA00433767,MINOR,Streetworks
,,LA00428120,HIGHWAYS ACT PERMITS,Building Licence
,,LA00437621,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00429059,STANDARD,Streetworks
,,LA00437336,STANDARD,Streetworks
,,LA00436690,STANDARD,Streetworks
,,LA00425666,HIGHWAYS ACT PERMITS,Building Licence
,,LA00436277,MAJOR,Streetworks
,,LA00435162,STANDARD,Streetworks
,,LA00429841,MAJOR,Streetworks
,,LA00404095,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00378642,HIGHWAYS ACT PERMITS,Building Licence
,,LA00424626,HIGHWAYS ACT PERMITS,Building Licence
,,LA00435460,MAJOR,Streetworks
,,LA00399493,MAJOR,Streetworks
,,LA00436615,STANDARD,Streetworks
,,LA00434960,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00432745,MAJOR,Streetworks
,,LA00434856,MAJOR,Streetworks
,,LA00436363,ROAD RESTRICTION,Streetworks
,,LA00422249,HIGHWAYS ACT PERMITS,Building Licence
,,LA00436809,MINOR,Streetworks
,,LA00435767,MAJOR,Streetworks
,,LA00331276,HIGHWAYS ACT PERMITS,Building Licence
,,LA00437462,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00435433,MAJOR,Streetworks
,,LA00435429,MINOR,Streetworks
,,LA00434119,MAJOR,Streetworks
,,LA00432627,MAJOR,Streetworks
,,LA00437057,MINOR,Streetworks
,,LA00434493,MAJOR,Streetworks
,,LA00415556,MAJOR,Streetworks
,,LA00429798,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00437094,MAJOR,Streetworks
,,LA00429827,MAJOR,Streetworks
,,LA00429840,MAJOR,Streetworks
,,LA00435843,HIGHWAYS ACT PERMITS,Building Licence
,,LA00424031,HIGHWAYS ACT PERMITS,Crane Operation
,,LA00436140,ROAD RESTRICTION,Streetworks
,,LA00339267,HIGHWAYS ACT PERMITS,Building Licence
,,LA00434547,MINOR,Streetworks
,,LA00437072,MAJOR,Streetworks
,,LA00435671,MAJOR,Streetworks
,,LA00398960,MAJOR,Streetworks
,,LA00428835,ROAD RESTRICTION,Streetworks
,,LA00434553,MAJOR,Streetworks
,,LA00435438,HIGHWAYS ACT PERMITS,Building Licence
,,LA00434478,HIGHWAYS ACT PERMITS,Building Licence
,,LA00434414,HIGHWAYS ACT PERMITS,Building Licence
,,LA00433527,STANDARD,Streetworks
,,LA00424587,MINOR,Streetworks
,,LA00381735,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00437739,MINOR,Streetworks
,,LA00435253,MAJOR,Streetworks
,,LA00435581,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00437740,STANDARD,Streetworks
,,LA00435801,STANDARD,Streetworks
,,LA00437731,MINOR,Streetworks
,,LA00436412,HIGHWAYS ACT PERMITS,Building Licence
,,LA00437559,MINOR,Streetworks
,,LA00434500,MAJOR,Streetworks
,,LA00346128,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00435420,MAJOR,Streetworks
,,LA00435680,HIGHWAYS ACT PERMITS,Building Licence
,,LA00398046,HIGHWAYS ACT PERMITS,Building Licence
,,LA00435673,MINOR,Streetworks
,,LA00435663,MAJOR,Streetworks
,,LA00428088,HIGHWAYS ACT PERMITS,Crane Operation
,,LA00436680,MAJOR,Streetworks
,,LA00428119,HIGHWAYS ACT PERMITS,Building Licence
,,LA00414143,HIGHWAYS ACT PERMITS,Building Licence
,,LA00437533,MINOR,Streetworks
,,LA00408214,MAJOR,Streetworks
,,LA00432199,MAJOR,Streetworks
,,LA00432156,HIGHWAYS ACT PERMITS,Crane Operation
,,LA00437742,STANDARD,Streetworks
,,LA00427686,HIGHWAYS ACT PERMITS,Building Licence
,,LA00434087,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
