Accident Ref No.,Casualty Class,Sex of Casualty
10CA0000845,Passenger,Male
10CA0000845,Passenger,Male
10MU0001027,Driver,Male
10MU0001027,Driver,Male
10MU0001027,Driver,Male
10MU0001027,Passenger,Male
10AA0001013,Pedestrian,Female
10AA0001071,Pedestrian,Male
10AA0001102,Pedestrian,Male
10AA0001603,Driver,Male
10AA0001603,Passenger,Male
10BA0000832,Driver,Male
10BA0001192,Driver,Male
10CA0000886,Driver,Male
10CA0000990,Driver,Male
10AA0001604,Pedestrian,Female
10AA0002538,Driver,Male
10AA0002538,Passenger,Male
10BA0000927,Driver,Male
10AA0000996,Driver,Female
10AA0001133,Driver,Male
10BA0000920,Driver,Male
10CA0000932,Passenger,Male
10CA0000971,Passenger,Male
10CA0000997,Driver,Male
10MU0000926,Driver,Male
10MU0000926,Passenger,Male
10MU0000926,Passenger,Male
10AA0000944,Pedestrian,Male
10AA0001146,Driver,Female
10BA0000945,Driver,Male
10BA0001021,Driver,Male
10BA0001021,Passenger,Male
10BA0001021,Passenger,Female
10BA0001021,Passenger,Female
10BA0001026,Pedestrian,Male
10CA0001150,Driver,Female
10CA0001494,Driver,Female
10CA0001494,Passenger,Male
10AA0001063,Pedestrian,Male
10AA0001103,Passenger,Female
10AA0001160,Passenger,Female
10AA0001160,Passenger,Female
10BA0001007,Pedestrian,Male
10BA0001085,Driver,Female
10BA0001085,Driver,Female
10BA0001085,Passenger,Male
10CA0000976,Pedestrian,Male
10CA0000979,Pedestrian,Female
10CA0000979,Driver,Male
10CA0001184,Pedestrian,Male
10AA0000977,Driver,Female
10AA0001012,Driver,Male
10AA0001012,Driver,Male
10AA0001012,Passenger,Female
10AA0001043,Driver,Male
10AA0001048,Passenger,Female
10AA0001233,Pedestrian,Female
10BA0001467,Driver,Male
10CA0001068,Pedestrian,Female
10CA0001098,Pedestrian,Female
10CA0001107,Driver,Male
10CA0001107,Passenger,Male
10CA0001107,Pedestrian,Female
10CA0001107,Pedestrian,Male
10CA0001366,Driver,Female
10MU0001092,Driver,Male
10MU0001092,Passenger,Female
10AA0001058,Driver,Female
10AA0001058,Driver,Male
10BA0001288,Driver,Male
10CA0001004,Driver,Female
10CA0001066,Driver,Female
10CA0001066,Passenger,Female
10CA0001112,Pedestrian,Male
10MU0001093,Passenger,Female
10AA0001212,Pedestrian,Male
10BA0001089,Pedestrian,Female
10BA0001113,Driver,Male
10CA0001050,Passenger,Female
10BA0001078,Driver,Male
