Accident Ref No.,Casualty Class,Sex of Casualty
10BA0196118,Pedestrian,Female
10CA0003477,Driver,Male
10CA0003477,Passenger,Female
10CA0004300,Pedestrian,Male
10AA0004038,Driver,Male
10AA0004041,Driver,Male
10BA0003538,Driver,Male
10BA0003560,Pedestrian,Female
10CA0003522,Driver,Male
10CA0003547,Pedestrian,Male
10AA0003504,Driver,Male
10AA0003646,Driver,Male
10AA0003646,Passenger,Male
10BA0003535,Driver,Male
10BA0003535,Passenger,Male
10BA0003561,Pedestrian,Male
10BA0003584,Driver,Female
10BA0003584,Passenger,Female
10CA0003605,Driver,Female
10CA0003732,Driver,Male
10CA0003732,Passenger,Male
10AA0003603,Driver,Female
10AA0003603,Driver,Female
10AA0003603,Passenger,Female
10BA0003515,Pedestrian,Male
10BA0003569,Driver,Male
10BA0003569,Passenger,Female
10CA0003577,Driver,Male
10CA0003611,Driver,Female
10AA0003579,Driver,Male
10AA0003579,Driver,Male
10AA0003579,Passenger,Female
10BA0003587,Driver,Male
10BA0003616,Passenger,Female
10AA0003635,Driver,Male
10AA0003660,Pedestrian,Female
10CA0003639,Driver,Male
10CA0003730,Driver,Male
10CA0003733,Driver,Male
10AA0003618,Passenger,Female
10AA0003650,Pedestrian,Male
10AA0003657,Driver,Male
10AA0003663,Passenger,Female
10AA0003678,Passenger,Female
10BA0003765,Driver,Male
10CA0003679,Pedestrian,Male
10AA0003692,Passenger,Female
10AA0003720,Driver,Male
10AA0003741,Driver,Female
10AA0003869,Driver,Male
10BA0003658,Driver,Male
10BA0003658,Driver,Female
10BA0003658,Passenger,Female
10BA0207610,Driver,Male
10CA0003689,Driver,Male
10CA0003780,Passenger,Male
10AA0004015,Passenger,Female
10BA0003718,Driver,Male
10CA0003739,Pedestrian,Male
10AA0003872,Driver,Male
10BA0003821,Driver,Female
10CA0003787,Driver,Male
10CA0003787,Driver,Male
10CA0003881,Driver,Male
10MU0003833,Driver,Male
10BA0003812,Driver,Male
10CA0003979,Driver,Male
10AA0003743,Passenger,Female
10AA0003743,Passenger,Male
10AA0004036,Driver,Male
10BA0003798,Driver,Male
10BA0003825,Driver,Male
10BA0003825,Passenger,Female
10MU0003814,Driver,Female
10MU0003814,Passenger,Female
10BA0003805,Driver,Male
10BA0003813,Driver,Male
10BA0003813,Driver,Female
10BA0003813,Passenger,Male
10BA0003841,Passenger,Male
10BA0003841,Passenger,Male
10CA0003836,Driver,Male
10AA0003875,Driver,Male
10AA0003875,Driver,Male
10BA0003867,Driver,Female
10BA0003867,Passenger,Female
10CA0003839,Driver,Male
10CA0003839,Driver,Female
10CA0003839,Passenger,Male
10CA0003839,Passenger,Female
10CA0003839,Passenger,Female
10CA0003839,Passenger,Female
10MU0004133,Driver,Female
10AA0003984,Pedestrian,Male
10AA0004006,Driver,Male
10AA0004030,Pedestrian,Male
10BA0003864,Driver,Female
10BA0003989,Passenger,Male
10CA0003863,Passenger,Male
10AA0003987,Driver,Male
10BA0003940,Driver,Male
10BA0003946,Driver,Male
10BA0003990,Pedestrian,Male
10BA0003991,Driver,Male
10BA0004009,Driver,Male
10BA0004031,Driver,Male
10CA0003980,Passenger,Female
10CA0004003,Driver,Male
10CA0004046,Driver,Female
10MU0004070,Driver,Female
10AA0003985,Driver,Male
10AA0004829,Driver,Female
10BA0003981,Driver,Male
10BA0004013,Driver,Female
10BA0004017,Pedestrian,Male
10BA0004032,Pedestrian,Female
10CA0003969,Pedestrian,Female
10CA0003993,Driver,Male
10AA0003988,Driver,Female
10AA0003988,Driver,Male
10AA0003988,Passenger,Male
10AA0003988,Passenger,Male
10AA0005095,Driver,Female
10AA0005095,Passenger,Female
10BA0003982,Passenger,Female
10BA0003998,Driver,Male
10BA0003998,Passenger,Male
10BA0003998,Passenger,Female
10BA0004035,Driver,Female
10BA0004035,Passenger,Female
10BA0004039,Driver,Male
10BA0004039,Passenger,Female
10BA0004039,Passenger,Female
10CA0003942,Driver,Male
10CA0003968,Driver,Female
10MU0005777,Driver,Male
10MU0005777,Passenger,Female
10AA0003996,Driver,Male
10AA0003996,Driver,Male
10AA0004252,Driver,Male
10BA0004196,Driver,Male
10BA0004196,Driver,Female
10CA0003986,Pedestrian,Male
10CA0004101,Driver,Female
10AA0003945,Driver,Male
10AA0004284,Driver,Male
10BA0004150,Driver,Male
10BA0004153,Driver,Male
10MU0004061,Driver,Male
10MU0004061,Driver,Female
10AA0004096,Driver,Female
10AA0004367,Passenger,Female
10BA0004140,Pedestrian,Female
10CA0004021,Pedestrian,Female
10CA0004044,Driver,Male
10CA0004044,Driver,Female
10CA0004059,Driver,Female
10CA0004059,Passenger,Female
10AA0004071,Driver,Female
10AA0005740,Driver,Male
10BA0004123,Driver,Male
10BA0004123,Passenger,Female
10BA0004197,Pedestrian,Female
10BA0004519,Driver,Female
10BA0004519,Passenger,Male
10BA0004519,Driver,Female
10AA0004590,Passenger,Male
10BA0004135,Driver,Male
10BA0004135,Passenger,Male
10BA0004159,Driver,Female
10AA0004083,Driver,Male
10AA0004173,Driver,Male
10AA0004177,Driver,Male
10AA0004177,Driver,Male
10AA0004224,Driver,Male
10BA0004128,Driver,Female
10BA0004129,Driver,Male
10BA0004129,Passenger,Male
10BA0004129,Passenger,Female
10BA0004152,Driver,Male
10BA0004157,Pedestrian,Female
10BA0004214,Pedestrian,Female
10MU0004725,Driver,Female
10MU0004725,Passenger,Female
10MU0004725,Passenger,Female
10BA0004124,Driver,Male
10BA0004125,Driver,Male
10BA0004125,Driver,Male
10CA0004122,Driver,Male
10CA0004122,Passenger,Male
10CA0004122,Passenger,Female
10CA0004122,Passenger,Male
10CA0004156,Driver,Female
10CA0004156,Pedestrian,Female
10CA0004242,Driver,Female
10MU0004172,Driver,Male
10MU0004172,Passenger,Male
10MU0004178,Driver,Male
10MU0004178,Passenger,Female
10AA0004258,Driver,Male
10MU0004185,Driver,Male
10AA0004174,Passenger,Female
10AA0004203,Driver,Male
10AA0004203,Driver,Male
10AA0004244,Driver,Female
10BA0004144,Driver,Male
10BA0004144,Passenger,Male
10BA0004213,Driver,Female
10BA0004225,Driver,Female
10MU0004602,Driver,Male
10AA0004254,Driver,Female
10AA0004256,Driver,Female
10AA0004278,Driver,Male
10AA0004375,Driver,Female
10AA0004375,Driver,Female
10CA0004239,Passenger,Female
10CA0004290,Driver,Female
10CA0004290,Driver,Female
10CA0004290,Passenger,Female
10AA0004210,Passenger,Female
10AA0004243,Driver,Male
10AA0004243,Driver,Male
10AA0004243,Passenger,Male
10AA0004243,Passenger,Male
10BA0004217,Driver,Male
10BA0004341,Driver,Male
10BA0004373,Driver,Male
10CA0004263,Driver,Male
10CA0004279,Driver,Male
10CA0004279,Passenger,Male
10CA0004279,Passenger,Male
10AA0005475,Passenger,Male
10BA0004339,Pedestrian,Male
10BA0004365,Driver,Female
10BA0004371,Driver,Female
10BA0004371,Passenger,Female
10BA0004371,Passenger,Male
10CA0004317,Pedestrian,Female
10CA0004388,Pedestrian,Male
10BA0241025,Driver,Male
10CA0004260,Pedestrian,Male
10CA0004285,Driver,Female
10MU0004310,Driver,Male
10MU0004310,Passenger,Male
10MU0004323,Driver,Male
10MU0004418,Driver,Male
10AA0004343,Driver,Male
10AA0004364,Passenger,Male
10AA0004382,Driver,Female
10AA0004382,Driver,Male
10CA0004270,Passenger,Male
10CA0004301,Driver,Male
10AA0004374,Pedestrian,Male
10AA0004424,Pedestrian,Female
10AA0004443,Driver,Female
10AA0004443,Driver,Male
10BA0004503,Driver,Male
10BA0004503,Driver,Female
10CA0004331,Passenger,Male
10CA0004447,Pedestrian,Female
10AA0004344,Driver,Male
10BA0004410,Driver,Male
10BA0006990,Passenger,Male
10AA0004423,Driver,Male
10AA0004423,Driver,Female
10AA0004423,Passenger,Male
10AA0004423,Passenger,Male
10AA0004446,Driver,Female
10AA0004446,Driver,Male
10AA0004521,Driver,Male
10BA0004392,Passenger,Male
10BA0004396,Driver,Male
10BA0004396,Passenger,Male
10BA0004409,Driver,Male
10BA0004415,Driver,Male
10CA0004353,Passenger,Female
10CA0004381,Driver,Female
10CA0004391,Passenger,Male
10CA0004504,Driver,Male
10CA0004504,Driver,Male
10AA0004438,Passenger,Male
10AA0004945,Driver,Male
10BA0004416,Driver,Male
10BA0004489,Driver,Male
10CA0004485,Pedestrian,Male
10CA0004496,Driver,Male
10CA0004507,Driver,Male
10CA0004507,Pedestrian,Female
10BA0004478,Pedestrian,Male
10BA0004493,Driver,Male
10BA0004499,Driver,Male
10BA0004499,Driver,Male
10BA0004951,Driver,Female
10BA0004951,Passenger,Female
10BA0006989,Passenger,Female
10BA0006989,Passenger,Female
10CA0004487,Driver,Male
10CA0004487,Driver,Male
10MU0004501,Driver,Male
10MU0004502,Driver,Female
10AA0004482,Pedestrian,Male
10BA0004465,Passenger,Female
10BA0004465,Passenger,Female
10BA0006540,Driver,Male
10BA0006540,Driver,Male
10AA0004454,Driver,Male
10AA0004454,Driver,Female
10AA0004468,Driver,Male
10AA0004468,Passenger,Female
10AA0004582,Driver,Male
10MU0004529,Driver,Male
10AA0004527,Driver,Male
10AA0004527,Driver,Male
10AA0004527,Passenger,Female
10AA0004547,Driver,Male
10AA0004557,Driver,Female
10BA0004575,Driver,Male
10BA0004575,Driver,Male
10BA0004575,Passenger,Male
10BA0004594,Pedestrian,Female
10CA0004567,Pedestrian,Female
10MU0004600,Driver,Female
10MU0004600,Driver,Male
10BA0004578,Driver,Male
10BA0004578,Passenger,Female
10BA0004586,Passenger,Female
10BA0004638,Driver,Male
10BA0004729,Driver,Male
10CA0004616,Pedestrian,Male
10MU0004645,Driver,Female
10AA0004579,Driver,Female
10AA0004584,Driver,Male
10AA0004972,Driver,Female
10AA0004972,Driver,Male
10AA0004972,Passenger,Male
10BA0004593,Driver,Female
10CA0004581,Pedestrian,Female
10CA0004589,Passenger,Female
10CA0004607,Driver,Male
10CA0004756,Driver,Female
10MU0004723,Driver,Male
10MU0004723,Driver,Male
10MU0004723,Driver,Female
10MU0004723,Driver,Male
10MU0004723,Passenger,Male
10MU0004723,Passenger,Male
10AA0004642,Driver,Male
10AA0004662,Passenger,Female
10BA0004630,Passenger,Male
10BA0004693,Passenger,Female
10BA0004937,Driver,Male
10MU0004644,Driver,Female
10AA0004920,Driver,Female
10MU0004643,Passenger,Female
10MU0004643,Passenger,Male
10AA0004691,Driver,Male
10BA0004715,Pedestrian,Female
10CA0004637,Driver,Male
10CA0004637,Driver,Female
10MU0004779,Driver,Male
10AA0004722,Driver,Female
10AA0004722,Passenger,Female
10BA0004726,Driver,Female
10CA0004701,Passenger,Female
10CA0004794,Driver,Male
10CA0004794,Passenger,Female
10CA0004796,Driver,Female
10MU0004732,Driver,Male
10AA0004752,Driver,Female
10BA0004751,Driver,Male
10CA0004758,Pedestrian,Male
10CA0004770,Driver,Female
10CA0004884,Driver,Male
10CA0004884,Passenger,Female
10AA0004780,Driver,Male
10BA0004748,Pedestrian,Female
10BA0004839,Driver,Female
10BA0004841,Driver,Female
10BA0004847,Driver,Female
10BA0004847,Driver,Male
10BA0004903,Driver,Female
10BA0004903,Passenger,Female
10CA0004999,Driver,Male
10AA0004785,Driver,Male
10BA0004803,Driver,Male
10MU0004797,Passenger,Female
10AA0005075,Driver,Male
10BA0004804,Driver,Male
10BA0004804,Passenger,Female
10CA0004806,Passenger,Male
10CA0004882,Driver,Male
10CA0004882,Passenger,Female
10CA0004882,Passenger,Female
10CA0004882,Passenger,Female
10AA0004802,Driver,Female
10AA0004928,Driver,Female
10AA0004928,Passenger,Female
10AA0004928,Passenger,Female
10AA0004928,Passenger,Female
10AA0004934,Driver,Male
10CA0004915,Passenger,Female
10CA0004915,Passenger,Female
10AA0004935,Driver,Male
10AA0004935,Passenger,Female
10AA0004831,Driver,Male
10AA0004831,Driver,Male
10AA0004831,Passenger,Female
10AA0004831,Passenger,Female
10AA0004890,Pedestrian,Male
10BA0004881,Driver,Male
10BA0004896,Driver,Female
10BA0004897,Driver,Male
10BA0004897,Passenger,Male
10BA0004901,Driver,Male
10BA0004902,Driver,Male
10BA0004902,Passenger,Male
10BA0004902,Passenger,Male
10BA0004904,Passenger,Male
10BA0004910,Passenger,Female
10CA0004888,Driver,Male
10AA0004938,Driver,Male
10AA0278852,Pedestrian,Male
10MU0005013,Driver,Female
10MU0005013,Passenger,Female
10AA0004964,Driver,Female
10BA0004965,Driver,Male
10BA0004965,Pedestrian,Female
10BA0004968,Passenger,Male
10AA0005063,Driver,Male
10CA0005036,Driver,Female
10CA0005036,Passenger,Female
10CA0005036,Driver,Male
10CA0005036,Passenger,Female
10MU0005011,Driver,Male
10MU0005011,Passenger,Female
10MU0005011,Passenger,Female
10MU0005033,Passenger,Female
10MU0005037,Driver,Male
10MU0005037,Driver,Female
10AA0004958,Driver,Male
10AA0004963,Driver,Male
10AA0004963,Driver,Male
10AA0004963,Passenger,Male
10AA0004971,Driver,Male
10AA0004971,Passenger,Male
10AA0004971,Passenger,Male
10AA0005101,Driver,Male
10BA0005146,Driver,Male
10BA0005146,Driver,Male
10CA0004997,Pedestrian,Male
10CA0005014,Driver,Female
10CA0005658,Driver,Female
10AA0005118,Pedestrian,Female
10BA0005008,Driver,Male
10BA0005038,Pedestrian,Female
10BA0005157,Passenger,Male
10MU0005057,Driver,Male
10MU0005060,Driver,Male
10MU0005060,Passenger,Female
10AA0005070,Driver,Male
10AA0005070,Passenger,Female
10AA0005110,Driver,Male
10BA0005006,Driver,Male
10BA0005028,Driver,Male
10BA0005039,Passenger,Female
10BA0005064,Passenger,Male
10BA0005073,Passenger,Female
10BA0005076,Driver,Male
10CA0006321,Driver,Female
10CA0006321,Passenger,Female
10MU0005058,Driver,Male
10AA0005049,Driver,Male
10AA0005052,Pedestrian,Male
10AA0005062,Driver,Male
10AA0005355,Driver,Male
10BA0005068,Driver,Male
10BA0005068,Passenger,Male
10BA0005068,Passenger,Female
10BA0005068,Passenger,Female
10CA0005085,Pedestrian,Female
10MU0005111,Driver,Female
10CA0005087,Pedestrian,Male
10CA0005093,Driver,Female
10CA0005189,Driver,Female
10MU0005109,Passenger,Male
10MU0005109,Passenger,Female
10AA0005133,Driver,Female
10AA0005144,Passenger,Female
10AA0005156,Driver,Male
10AA0005156,Passenger,Male
10BA0005168,Driver,Male
10CA0005143,Driver,Male
10CA0005145,Driver,Female
10MU0005154,Driver,Male
10MU0005154,Passenger,Female
10AA0005120,Driver,Female
10AA0005155,Driver,Male
10AA0005155,Passenger,Male
10AA0005155,Passenger,Male
10BA0005845,Driver,Female
10BA0005845,Passenger,Male
10BA0005845,Passenger,Female
10BA0005845,Passenger,Male
10AA0005126,Driver,Female
10AA0005137,Driver,Male
10BA0005177,Pedestrian,Male
10BA0005187,Driver,Female
10BA0005187,Pedestrian,Female
10CA0005131,Pedestrian,Male
10AA0005326,Pedestrian,Male
10BA0005169,Driver,Male
10BA0005169,Passenger,Female
10BA0005169,Passenger,Female
10CA0005172,Driver,Male
10CA0005172,Passenger,Male
10CA0005206,Pedestrian,Female
10AA0005207,Driver,Male
10AA0005218,Driver,Female
10AA0005218,Passenger,Female
10AA0005243,Driver,Female
10AA0005243,Passenger,Female
10BA0005236,Driver,Female
10MU0005205,Driver,Female
10AA0005213,Driver,Male
10AA0005216,Driver,Male
10AA0005220,Driver,Female
10AA0005220,Driver,Female
10AA0005222,Driver,Female
10AA0005222,Driver,Male
10BA0005233,Driver,Male
10BA0005233,Driver,Male
10BA0005233,Passenger,Male
10BA0005244,Driver,Male
10BA0005258,Passenger,Female
10BA0005364,Driver,Male
10CA0005214,Passenger,Female
10CA0005276,Driver,Male
10AA0005242,Passenger,Male
10AA0005261,Passenger,Female
10AA0005261,Passenger,Male
10BA0005264,Driver,Male
10CA0005234,Passenger,Female
10MU0005328,Driver,Female
10AA0005277,Driver,Male
10AA0005320,Driver,Female
10AA0005343,Driver,Female
10BA0005287,Driver,Female
10BA0005287,Driver,Male
10CA0005245,Passenger,Female
10CA0005283,Driver,Male
10BA0005294,Pedestrian,Female
10BA0005295,Pedestrian,Female
10BA0005322,Driver,Male
10CA0005340,Driver,Male
10AA0005300,Driver,Male
10AA0005700,Driver,Male
10BA0005298,Pedestrian,Male
10BA0005301,Pedestrian,Male
10BA0005310,Driver,Male
10MU0005302,Driver,Male
10MU0005317,Driver,Male
10MU0005317,Passenger,Male
10MU0005317,Passenger,Male
10MU0005317,Passenger,Male
10MU0005317,Passenger,Male
10MU0005317,Passenger,Male
10MU0005317,Passenger,Male
10MU0005317,Passenger,Male
10MU0005317,Passenger,Male
10MU0005317,Passenger,Male
10MU0005317,Passenger,Male
10MU0005317,Passenger,Male
10MU0005347,Driver,Female
10MU0005347,Passenger,Male
10AA0005496,Driver,Male
10AA0005496,Passenger,Male
10BA0005357,Driver,Male
10CA0005338,Pedestrian,Female
10CA0006094,Pedestrian,Male
10MU0005330,Driver,Male
10BA0005617,Driver,Male
10BA0005617,Passenger,Male
10CA0005384,Pedestrian,Male
10MU0005361,Driver,Female
10MU0005361,Passenger,Male
10AA0005362,Driver,Male
10AA0005362,Passenger,Female
10AA0005367,Pedestrian,Male
10AA0005460,Passenger,Female
10BA0005359,Driver,Female
10BA0005375,Driver,Male
10BA0005425,Pedestrian,Male
10CA0005374,Pedestrian,Female
10CA0005379,Pedestrian,Male
10CA0005381,Driver,Male
10MU0005438,Driver,Male
10MU0005438,Passenger,Male
10AA0005393,Driver,Male
10AA0005393,Passenger,Female
10AA0005393,Passenger,Male
10AA0005393,Passenger,Male
10AA0005393,Passenger,Male
10BA0005378,Passenger,Male
10BA0005409,Driver,Male
10BA0005428,Driver,Female
10BA0005465,Driver,Male
10MU0005423,Driver,Female
10BA0005407,Driver,Female
10BA0005418,Driver,Male
10BA0005418,Passenger,Female
10CA0005471,Driver,Female
10CA0005471,Passenger,Male
10MU0005406,Driver,Female
10AA0005390,Driver,Male
10AA0005422,Passenger,Female
10AA0005422,Passenger,Male
10AA0005422,Passenger,Female
10AA0005422,Passenger,Female
10BA0005402,Passenger,Female
10BA0005402,Passenger,Male
10BA0005402,Passenger,Male
10BA0005402,Passenger,Male
10BA0005402,Passenger,Male
10BA0005402,Passenger,Female
10BA0005402,Passenger,Male
10BA0005402,Passenger,Male
10BA0005402,Passenger,Male
10BA0005402,Passenger,Male
10BA0005402,Passenger,Male
10BA0005424,Passenger,Female
10CA0005447,Driver,Male
10MU0005429,Driver,Male
10AA0005400,Driver,Male
10AA0005400,Passenger,Male
10AA0005400,Passenger,Female
10AA0005400,Driver,Male
10BA0005398,Passenger,Male
10BA0005398,Passenger,Male
10BA0005398,Passenger,Male
10CA0005466,Pedestrian,Male
10MU0005450,Passenger,Female
10BA0005454,Driver,Female
10BA0005456,Pedestrian,Male
10AA0005461,Driver,Male
10BA0005452,Driver,Male
10BA0005452,Passenger,Female
10BA0005462,Driver,Female
10BA0005462,Passenger,Male
10BA0005470,Pedestrian,Female
10BA0005474,Driver,Female
10BA0005474,Passenger,Female
10BA0005483,Driver,Male
10BA0005515,Pedestrian,Male
10CA0005467,Driver,Male
10CA0005467,Driver,Male
10CA0005469,Pedestrian,Female
10CA0324134,Driver,Male
10AA0005514,Driver,Male
10BA0005489,Driver,Male
10CA0005488,Pedestrian,Male
10CA0005490,Driver,Female
10BA0005502,Driver,Male
10BA0005758,Passenger,Male
10CA0005473,Passenger,Female
10CA0005481,Driver,Male
10CA0005481,Driver,Male
10CA0005503,Passenger,Male
10CA0005503,Passenger,Female
10CA0005503,Passenger,Female
10AA0005507,Driver,Male
10BA0005521,Driver,Male
10BA0005521,Driver,Female
10BA0005521,Driver,Female
10BA0006986,Driver,Male
10BA0006986,Driver,Male
10BA0006986,Passenger,Female
10CA0005648,Driver,Male
10AA0005497,Driver,Male
10AA0005497,Passenger,Male
10AA0005497,Passenger,Female
10AA0005504,Driver,Female
10AA0005504,Driver,Female
10AA0005504,Passenger,Female
10AA0005504,Passenger,Male
10AA0005504,Passenger,Female
10AA0005505,Driver,Female
10BA0005535,Driver,Male
10CA0005513,Driver,Male
10CA0005513,Passenger,Female
10BA0005524,Driver,Male
10CA0005522,Passenger,Female
10CA0005522,Passenger,Male
10CA0005522,Passenger,Male
10CA0005532,Driver,Male
10CA0005532,Driver,Male
10CA0005532,Passenger,Male
10CA0005532,Passenger,Male
10AA0005506,Driver,Female
10AA0005520,Driver,Male
10BA0005854,Driver,Male
10CA0005523,Driver,Male
10CA0005525,Driver,Male
10CA0005525,Passenger,Male
10CA0005530,Driver,Male
10CA0005530,Driver,Female
10CA0005530,Passenger,Female
10CA0005530,Passenger,Female
10CA0005577,Driver,Female
10CA0005577,Driver,Male
10CA0005577,Passenger,Female
10BA0005613,Driver,Male
10BA0005622,Driver,Female
10BA0005622,Passenger,Female
10BA0005622,Passenger,Male
10BA0005622,Passenger,Female
10MU0333823,Driver,Female
10AA0005560,Driver,Male
10BA0005623,Driver,Male
10CA0005561,Driver,Male
10CA0005627,Driver,Female
10CA0005627,Driver,Male
10CA0005627,Passenger,Male
10CA0005627,Passenger,Male
10AA0005580,Driver,Male
10BA0005612,Pedestrian,Male
10BA0005626,Driver,Male
10BA0005626,Passenger,Female
10BA0006165,Pedestrian,Female
10CA0005582,Driver,Male
10CA0005618,Driver,Male
10CA0005618,Passenger,Male
10AA0005629,Pedestrian,Female
10BA0005624,Driver,Male
10CA0005605,Passenger,Male
10BA0005609,Driver,Female
10BA0005610,Driver,Male
10BA0342064,Driver,Male
10CA0005884,Driver,Male
10CA0005884,Passenger,Male
10AA0005662,Driver,Male
10BA0005625,Driver,Female
10BA0005681,Pedestrian,Female
10CA0005659,Passenger,Female
10CA0005661,Driver,Male
10BA0005656,Driver,Female
10BA0005657,Pedestrian,Male
10BA0005686,Driver,Male
10BA0005698,Pedestrian,Male
10BA0005862,Pedestrian,Female
10CA0005699,Driver,Male
10AA0005729,Driver,Male
10BA0005687,Pedestrian,Female
10BA0005771,Pedestrian,Male
10BA0005863,Driver,Male
10CA0005673,Driver,Male
10CA0005722,Pedestrian,Male
10CA0006070,Driver,Male
10CA0006070,Driver,Male
10AA0005683,Driver,Female
10AA0005702,Passenger,Female
10AA0005702,Driver,Male
10AA0005702,Driver,Female
10BA0005765,Pedestrian,Female
10CA0005679,Driver,Male
10MU0005677,Passenger,Female
10MU0005688,Driver,Male
10MU0005692,Driver,Female
10MU0005694,Driver,Female
10MU0005694,Passenger,Female
10MU0005694,Passenger,Male
10AA0005684,Driver,Male
10AA0005684,Passenger,Female
10AA0005701,Driver,Male
10BA0005690,Driver,Male
10BA0005690,Pedestrian,Male
10MU0005693,Passenger,Female
10BA0005695,Pedestrian,Male
10BA0005697,Driver,Male
10BA0005745,Driver,Male
10CA0005674,Driver,Female
10CA0005674,Passenger,Female
10BA0005763,Driver,Male
10BA0005773,Passenger,Male
10BA0005773,Passenger,Male
10BA0005782,Driver,Male
10CA0005685,Pedestrian,Male
10MU0005742,Driver,Male
10MU0005742,Passenger,Male
10AA0005734,Passenger,Male
10BA0005810,Pedestrian,Female
10CA0005720,Driver,Male
10CA0005721,Driver,Male
10CA0005755,Pedestrian,Male
10CA0005759,Driver,Male
10CA0005759,Passenger,Female
10CA0006110,Driver,Male
10CA0005756,Passenger,Female
10CA0005760,Driver,Male
10CA0005783,Passenger,Male
10AA0005778,Pedestrian,Female
10AA0005790,Driver,Male
10AA0005790,Driver,Female
10BA0005757,Passenger,Female
10BA0005798,Driver,Female
10BA0005798,Driver,Female
10BA0005798,Driver,Male
10AA0005808,Passenger,Male
10BA0005811,Driver,Male
10CA0005797,Pedestrian,Male
10CA0005797,Pedestrian,Female
10CA0005799,Driver,Male
10CA0005799,Passenger,Female
10CA0005817,Driver,Male
10BA0006502,Passenger,Female
10AA0005779,Driver,Male
10AA0005813,Driver,Male
10AA0005824,Passenger,Male
10AA0005824,Passenger,Male
10BA0005807,Driver,Female
10BA0005883,Pedestrian,Male
10AA0005846,Driver,Male
10AA0005846,Passenger,Female
10AA0005846,Passenger,Female
10AA0006044,Driver,Female
10BA0005819,Passenger,Female
10BA0005823,Driver,Male
10BA0006469,Driver,Female
10CA0005791,Pedestrian,Male
10CA0005793,Pedestrian,Male
10CA0005818,Pedestrian,Female
10AA0005812,Driver,Female
10AA0005835,Pedestrian,Male
10AA0005840,Driver,Male
10AA0005860,Driver,Female
10AA0005860,Driver,Female
10BA0005746,Driver,Male
10BA0006258,Passenger,Male
10CA0005833,Pedestrian,Female
10MU0005857,Driver,Female
10AA0005972,Driver,Male
10BA0005858,Driver,Male
10BA0005859,Driver,Male
10BA0005875,Driver,Female
10CA0005814,Driver,Male
10CA0005814,Driver,Male
10CA0005839,Driver,Male
10CA0005864,Driver,Female
10CA0005864,Passenger,Female
10CA0005864,Passenger,Female
10CA0005864,Passenger,Female
10MU0005848,Driver,Female
10MU0005855,Driver,Female
10MU0005855,Driver,Male
10MU0005855,Passenger,Female
10MU0005856,Driver,Male
10MU0005856,Driver,Female
10MU0005856,Passenger,Female
10BA0005881,Driver,Male
10BA0005976,Driver,Male
10BA0005996,Driver,Female
10BA0005996,Driver,Male
10BA0005996,Passenger,Female
10MU0005915,Driver,Female
10BA0005967,Pedestrian,Female
10CA0005879,Driver,Male
10CA0005879,Driver,Female
10CA0005879,Passenger,Female
10CA0005879,Passenger,Female
10CA0005879,Passenger,Male
10CA0005923,Driver,Male
10AA0005865,Driver,Male
10BA0005878,Driver,Female
10BA0006002,Driver,Male
10BA0006002,Driver,Male
10CA0004102,Pedestrian,Male
10CA0005924,Driver,Female
10CA0006063,Passenger,Male
10AA0005866,Driver,Male
10AA0005897,Driver,Male
10AA0006031,Passenger,Male
10AA0373132,Driver,Male
10AA0373132,Driver,Male
10BA0005920,Driver,Male
10CA0005931,Driver,Male
10CA0005947,Driver,Female
10CA0005947,Driver,Male
10AA0005929,Driver,Male
10AA0005977,Driver,Male
10AA0006030,Passenger,Male
10CA0005922,Pedestrian,Male
10CA0005944,Driver,Male
10CA0005944,Driver,Male
10CA0005968,Pedestrian,Female
10MU0006051,Driver,Male
10MU0006051,Driver,Male
10MU0006051,Driver,Female
10MU0006051,Driver,Male
10AA0005970,Driver,Male
10AA0005995,Passenger,Female
10AA0005995,Passenger,Male
10CA0005945,Driver,Female
10CA0006117,Pedestrian,Female
10AA0005978,Driver,Female
10AA0005978,Driver,Female
10AA0006091,Driver,Male
10BA0005979,Driver,Male
10BA0005979,Driver,Female
10BA0005979,Passenger,Female
10BA0005979,Passenger,Female
10BA0006001,Driver,Female
10BA0006001,Passenger,Male
10BA0006163,Pedestrian,Male
10CA0005943,Driver,Male
10CA0005943,Driver,Male
10CA0005943,Passenger,Female
10CA0005943,Passenger,Male
10CA0005997,Driver,Male
10AA0005975,Driver,Male
10BA0005999,Passenger,Male
10BA0006013,Pedestrian,Male
10BA0006130,Pedestrian,Female
10BA0006162,Pedestrian,Male
10BA0006172,Driver,Male
10CA0006000,Driver,Male
10CA0005994,Driver,Male
10CA0006431,Passenger,Female
10CA0006431,Passenger,Male
10BA0005992,Pedestrian,Male
10BA0006032,Driver,Male
10CA0006017,Driver,Male
10CA0006017,Passenger,Male
10MU0006024,Driver,Male
10MU0006024,Passenger,Female
10AA0006023,Driver,Female
10AA0006023,Driver,Female
10AA0006023,Driver,Female
10AA0006023,Passenger,Male
10AA0006034,Pedestrian,Male
10AA0006034,Driver,Male
10AA0006109,Driver,Female
10AA0006109,Driver,Female
10AA0006109,Passenger,Female
10AA0006109,Passenger,Female
10AA0006111,Driver,Male
10AA0006180,Driver,Male
10AA0006180,Driver,Male
10AA0006180,Passenger,Male
10AA0006180,Passenger,Male
10BA0006029,Driver,Female
10CA0006244,Driver,Male
10CA0006244,Driver,Male
10MU0006092,Driver,Male
10AA0006036,Driver,Female
